device_type,hour,current_watts,avg_watts,rolling_avg,volatility,trend,label
Calefactor,17,1604.57,1500,1604.57,30.0,-4.67,0
Mini Refrigerador,6,80.0,80,80.0,1.6,0.0,0
Secadora,17,2500.0,2500,2500.0,50.0,0.0,0
Luces,6,62.88,60,62.88,1.2,-2.68,0
Horno,18,2122.03,2200,2122.03,44.0,3.65,0
Aire Acondicionado,8,1183.93,1200,1183.93,24.0,1.81,0
Luces,4,54.09,60,54.09,1.2,2.42,0
Luces,23,60.0,60,60.0,1.2,0.0,0
Lavadora,1,466.68,500,466.68,10.0,2.61,0
Aire Acondicionado,7,2048.89,1200,2048.89,24.0,-1.92,4
Microondas,12,1000.0,1000,1000.0,20.0,0.0,0
Mini Refrigerador,1,72.86,80,72.86,1.6,0.74,0
Calefactor,9,1500.0,1500,1500.0,30.0,0.0,0
Televisor,21,600.0,120,120.0,2.4,0.0,18
Computadora,22,313.48,300,313.48,6.0,2.61,0
Aire Acondicionado,13,2038.47,1200,2038.47,24.0,0.65,4
Calefactor,6,1487.49,1500,1487.49,30.0,4.35,0
Laptop,3,65.0,65,65.0,1.3,0.0,0
Mini Refrigerador,0,74.97,80,74.97,1.6,3.39,0
Laptop,9,65.44,65,65.44,1.3,3.5,0
Calefactor,12,1500.0,1500,1500.0,30.0,0.0,0
Calefactor,19,1646.39,1500,1646.39,30.0,-4.87,0
Luces,14,60.0,60,60.0,1.2,0.0,0
Lavadora,23,508.05,500,508.05,10.0,4.09,0
Televisor,16,128.91,120,128.91,2.4,1.67,0
Luces,13,56.66,60,56.66,1.2,-3.3,0
Aire Acondicionado,4,1126.85,1200,1126.85,24.0,-2.94,0
Horno,22,2200.0,2200,2200.0,44.0,0.0,0
Secadora,15,2272.24,2500,2272.24,50.0,-0.15,0
Calefactor,3,1635.77,1500,1635.77,30.0,1.39,0
Luces,9,63.4,60,63.4,1.2,-4.94,0
Laptop,12,60.76,65,60.76,1.3,-3.72,0
Luces,23,59.15,60,59.15,1.2,-3.95,0
Router,3,60.0,12,12.0,0.24,0.0,18
Laptop,15,68.99,65,68.99,1.3,0.83,0
Secadora,13,2712.92,2500,2712.92,50.0,-4.41,0
Lavadora,3,541.08,500,541.08,10.0,4.43,0
Televisor,1,3.0,120,3.0,2.4,1.0,0
Calefactor,1,1500.0,1500,1500.0,30.0,0.0,0
Aire Acondicionado,11,2119.19,1200,2119.19,24.0,-1.09,4
Luces,15,59.73,60,59.73,1.2,0.49,0
Calefactor,22,1588.43,1500,1588.43,30.0,-4.32,0
Mini Refrigerador,14,80.0,80,80.0,1.6,0.0,0
Horno,15,2078.13,2200,2078.13,44.0,-3.32,0
Laptop,8,65.0,65,65.0,1.3,0.0,0
Calefactor,23,1512.76,1500,1512.76,30.0,-0.85,0
Microondas,21,1000.0,1000,1000.0,20.0,0.0,0
Router,7,11.16,12,11.16,0.24,-3.29,0
Calefactor,14,1479.83,1500,1479.83,30.0,0.23,0
Mini Refrigerador,7,79.3,80,79.3,1.6,3.94,0
Horno,15,2200.0,2200,2200.0,44.0,0.0,0
Calefactor,3,1500.0,1500,1500.0,30.0,0.0,0
Computadora,6,3.0,300,3.0,6.0,-4.99,0
Mini Refrigerador,11,80.0,80,80.0,1.6,0.0,0
Horno,12,2049.08,2200,2049.08,44.0,-0.1,0
Secadora,10,2572.1,2500,2572.1,50.0,0.58,0
Aire Acondicionado,22,1162.88,1200,1162.88,24.0,-1.26,0
Microondas,15,1033.37,1000,1033.37,20.0,2.78,0
Luces,23,60.0,60,60.0,1.2,0.0,0
Secadora,17,2500.0,2500,2500.0,50.0,0.0,0
Mini Refrigerador,6,79.74,80,79.74,1.6,-3.05,0
Aire Acondicionado,22,1151.63,1200,1151.63,24.0,2.12,0
Luces,19,61.55,60,61.55,1.2,3.75,0
Luces,1,60.95,60,60.95,1.2,-1.51,0
Televisor,12,114.08,120,114.08,2.4,-2.98,0
Laptop,8,61.32,65,61.32,1.3,-2.31,0
Computadora,22,68.9,300,68.9,6.0,-0.1,0
Calefactor,3,1592.67,1500,1592.67,30.0,1.56,0
Horno,9,2200.0,2200,2200.0,44.0,0.0,0
Calefactor,6,1500.0,1500,1500.0,30.0,0.0,0
Router,18,12.0,12,12.0,0.24,0.0,0
Lavadora,17,500.0,500,500.0,10.0,0.0,0
Aire Acondicionado,1,1686.61,1200,1686.61,24.0,0.93,4
Computadora,0,309.87,300,309.87,6.0,0.37,0
Aire Acondicionado,9,1250.91,1200,1250.91,24.0,2.76,0
Refrigerador,4,138.14,150,138.14,3.0,-0.67,0
Mini Refrigerador,2,84.97,80,84.97,1.6,1.52,0
Horno,17,2400.0,2200,2400.0,44.0,-4.21,0
Refrigerador,23,240.0,150,150.0,3.0,0.0,1
Laptop,21,62.88,65,62.88,1.3,-1.78,0
Refrigerador,22,138.12,150,138.12,3.0,2.28,0
Secadora,13,2509.2,2500,2509.2,50.0,1.73,0
